label,"GDP Per Capita"
2019,3853.08369288942
2018,4080.56712469552
2017,4077.04372120747
2016,3886.29150165239
2015,3843.78067184442
2014,3819.25352972265
2013,3610.28936304898
2012,3350.52187589289
2011,3200.83382914016
2010,2799.64887619972
2009,2090.4018261396
2008,2037.32210302668
2007,1630.38890604323
2006,1435.8171774712
2005,1248.69818517034
2004,1065.78443680197
2003,982.195645858104
2002,867.491213740342
2001,832.803440237058
2000,869.696516609157
1999,838.883867360624
1998,850.811420552006
1997,817.064348987277
1996,756.65707290313
1995,714.233427260714
1994,647.579049055816
1993,576.78001259826
1992,547.05471943737
1991,513.258535278508
1990,463.618631805931
1989,408.450842995894
1988,413.454996935024
1987,401.477192409905
1986,390.350758933509
1985,369.581941708333
1984,378.937189638572
1983,328.650429327013
1982,307.638303057229
1981,289.130689381959
1980,267.668683996945
1979,227.509826803542
1978,188.058494195366
1977,287.561636646356
1976,256.286715355097
1975,275.627619329262
1974,264.746235718467
1973,216.994958359606
1972,196.422932988093
1971,185.859889336167
1970,183.927471518332
1969,160.913082166436
1968,150.896707697957
1967,159.50599139416
1966,153.898723733778
1965,152.852744237697
1964,120.714370232159
1963,117.072043511685
1962,138.536667362574
1961,142.83817062385
1960,142.779621883716
